scientificName,decimalLongitude,decimalLatitude
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.98076,51.86801
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,8.5913,55.1823
Carcinus maenas,-3.593686295,54.87426015
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.73074411,51.35018872
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,2.49029994,51.31949997
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-62.109143,46.384835
Carcinus maenas,-70.00779724,41.79970169
Carcinus maenas,4.77667,52.9975
Carcinus maenas,8.6414,55.0793
Carcinus maenas,150.781,-35.0001
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.48333333,51.43333333
Carcinus maenas,3.055999346,51.31000043
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-60.416,46.633
Carcinus maenas,8.2888,55.5095
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-4.194863255,53.2123917
Carcinus maenas,6.29166667,53.58333333
Carcinus maenas,3.73333333,51.78333333
Carcinus maenas,2.701699972,51.18320084
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-6.3347,36.5193
Carcinus maenas,2.650000095,51.1333313
Carcinus maenas,-62.11238,46.383134
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-58.41903,48.48288
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-54.08203,47.8475
Carcinus maenas,-54.89407,47.36382
Carcinus maenas,1.522257,50.476467
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-62.6532,45.6237
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.48333333,51.41666667
Carcinus maenas,3.83333333,51.775
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.68333333,51.71666667
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-3.86895,48.68734
Carcinus maenas,2.700000048,51.18999863
Carcinus maenas,8.594,55.1814
Carcinus maenas,-3.86895,48.68734
Carcinus maenas,8.2893,55.5097
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,3.421703339,51.79991913
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-6.333333333,58.91666667
Carcinus maenas,8.2083,55.9558
Carcinus maenas,4.03758857,51.4025161
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,4.77667,52.9975
Carcinus maenas,-3.408089335,54.87116066
Carcinus maenas,-54.33327,47.67223
